,Attribute,Value
0,Beta (5Y Monthly),0.81
1,52-Week Change 3,10.58%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,105.62
4,52 Week Low 3,60.00
5,50-Day Moving Average 3,98.95
6,200-Day Moving Average 3,93.13
7,Avg Vol (3 month) 3,7.2M
8,Avg Vol (10 day) 3,5.28M
9,Shares Outstanding 5,1.24B
10,Float,1.23B
11,% Held by Insiders 1,1.17%
12,% Held by Institutions 1,85.83%
13,"Shares Short (Jun 29, 2020) 4",11.46M
14,"Short Ratio (Jun 29, 2020) 4",1.38
15,"Short % of Float (Jun 29, 2020) 4",1.28%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.74%
17,"Shares Short (prior month May 28, 2020) 4",11.9M
18,Forward Annual Dividend Rate 4,0.98
19,Forward Annual Dividend Yield 4,0.99%
20,Trailing Annual Dividend Rate 3,0.95
21,Trailing Annual Dividend Yield 3,0.99%
22,5 Year Average Dividend Yield 4,1.07
23,Payout Ratio 4,59.69%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 23, 2015"
28,Fiscal Year Ends,"May 30, 2020"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,6.79%
31,Operating Margin (ttm),8.33%
32,Return on Assets (ttm),7.07%
33,Return on Equity (ttm),29.70%
34,Revenue (ttm),37.4B
35,Revenue Per Share (ttm),24.00
36,Quarterly Revenue Growth (yoy),-38.00%
37,Gross Profit (ttm),16.24B
38,EBITDA,3.78B
39,Net Income Avi to Common (ttm),2.54B
40,Diluted EPS (ttm),1.60
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),8.79B
43,Total Cash Per Share (mrq),5.65
44,Total Debt (mrq),13.02B
45,Total Debt/Equity (mrq),161.58
46,Current Ratio (mrq),2.48
47,Book Value Per Share (mrq),5.18
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
